feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
N-acetylaspartate (NAA)	Group	RYGB	-1.10996204597847	0.210853151349056	0.000199713830478779	0.0433104049309036	CPLM	1.4	15	15	0
mannitol/sorbitol	Group	Sham	-0.592512771942025	0.113053689536292	0.000207442631564251	0.0433104049309036	CPLM	1.99	15	15	0
alpha-ketoglutarate	Group	RYGB	-1.08486842227512	0.177715596096611	5.29955706689405e-05	0.0433104049309036	CPLM	1.712	15	15	0
palmitoleate (16:1n7)	Group	Sham	1.46352647845196	0.262583836373091	0.000121133014631346	0.0433104049309036	CPLM	1.99	15	15	0
docosahexaenoate (DHA; 22:6n3)	Group	Sham	1.06726778554042	0.190248157246797	0.000114330403928831	0.0433104049309036	CPLM	1.99	15	15	0
1-arachidonylglycerol (20:4)	Group	Sham	1.38082712431026	0.274513089177993	0.000294128386627529	0.0433104049309036	CPLM	1.99	15	15	0
sphingosine	Group	RYGB	1.49292174730326	0.293435504344194	0.000267193506294883	0.0433104049309036	CPLM	1.99	15	15	0
campesterol	Group	Sham	1.42972662366287	0.275930329270475	0.000228778284276618	0.0433104049309036	CPLM	1.846	15	15	0
hexadecadienoate (16:2n6)	Group	Sham	1.13113289854068	0.234121400354085	0.000411010060633464	0.0493407809551109	CPLM	1.99	15	15	0
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*	Group	Sham	1.24988155724383	0.262343644488796	0.000460737343383888	0.0493407809551109	CPLM	1.01	15	15	0
threonate	Group	Sham	-0.720638790844615	0.150673564379384	0.000446436293976453	0.0493407809551109	CPLM	1.82	15	15	0
sphinganine	Group	RYGB	1.09202123466604	0.240574607100928	0.000678756074946112	0.0617677878440702	CPLM	1.99	15	15	0
2,6-dihydroxybenzoic acid	Group	Sham	1.6456381051844	0.362733262795018	0.000681647913389569	0.0617677878440702	CPLM	1.99	15	15	0
docosapentaenoate (DPA; 22:5n3)	Group	Sham	1.01534908324273	0.226846405806599	0.000757777034093343	0.0637615247258541	CPLM	1.99	15	15	0
N-acetylaspartate (NAA)	Group	Sham	-0.825763052682793	0.196650501662708	0.00123378408241273	0.069209411861057	CPLM	1.4	15	15	0
N-acetylproline	Group	Sham	-0.631905860265269	0.149016483317377	0.00114642523882716	0.069209411861057	CPLM	1.01	15	15	0
10-heptadecenoate (17:1n7)	Group	Sham	1.01275305778219	0.234317009982839	0.000992345156621255	0.069209411861057	CPLM	1.99	15	15	0
docosapentaenoate (n6 DPA; 22:5n6)	Group	Sham	1.10893583080014	0.261659621406627	0.00115136337457746	0.069209411861057	CPLM	1.99	15	15	0
nicotinamide	Group	Sham	-0.936344350014408	0.218296590376924	0.00105154116701053	0.069209411861057	CPLM	1.99	15	15	0
gulonate*	Group	Sham	-1.10239117375764	0.255013079510301	0.000991065687004668	0.069209411861057	CPLM	1.99	15	15	0
stachydrine	Group	Sham	3.59146391519372	0.854970541417383	0.00123039618962838	0.069209411861057	CPLM	1.99	15	15	0
ribulonate/xylulonate/lyxonate*	Group	Sham	-0.430807519096057	0.107167274857113	0.00169960017385989	0.0694683169759674	CPLM	1.99	15	15	0
mannitol/sorbitol	Group	RYGB	-0.451313500136207	0.113035290793768	0.00178506574789333	0.0694683169759674	CPLM	1.99	15	15	0
fumarate	Group	RYGB	-0.908832059238405	0.221007458616387	0.00144053302872001	0.0694683169759674	CPLM	1.329	15	15	0
5-dodecenoate (12:1n7)	Group	Sham	1.71436749639486	0.429216380376784	0.00178024536687383	0.0694683169759674	CPLM	1.99	15	15	0
linolenate (18:3n3 or 3n6)	Group	Sham	0.991833940465264	0.249239242731793	0.00182811360463072	0.0694683169759674	CPLM	1.99	15	15	0
3-hydroxyadipate*	Group	RYGB	0.982199236366693	0.242537113736423	0.00161123688349554	0.0694683169759674	CPLM	1.99	15	15	0
phosphoethanolamine (PE)	Group	Sham	-0.586898235217142	0.144454761307945	0.00157363998079982	0.0694683169759674	CPLM	1.99	15	15	0
1,2-dilinoleoyl-GPC (18:2/18:2)	Group	Sham	-0.755285376489887	0.185041338625612	0.00152135215826909	0.0694683169759674	CPLM	1.99	15	15	0
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*	Group	Sham	0.771417613642855	0.18787527727449	0.00145662541033542	0.0694683169759674	CPLM	1.215	15	15	0
beta-sitosterol	Group	Sham	1.42527384693541	0.342503879726141	0.00131964917039946	0.0694683169759674	CPLM	1.99	15	15	0
ophthalmate	Group	RYGB	2.2997234918886	0.588843622803817	0.00208921789974656	0.0747020640967639	CPLM	1.99	15	15	0
malate	Group	RYGB	-0.943063147055378	0.243554689957434	0.00221950105550657	0.0747020640967639	CPLM	1.245	15	15	0
3-hydroxybutyrate (BHBA)	Group	RYGB	1.0930235066855	0.281143748433886	0.00215728984146596	0.0747020640967639	CPLM	1.99	15	15	0
N1-methylinosine	Group	Sham	-0.833615408714946	0.214252781721972	0.00214549300383082	0.0747020640967639	CPLM	1.079	15	15	0
glucuronate	Group	Sham	-0.503651100072371	0.131524694074554	0.00239849651322465	0.0763629430426659	CPLM	1.99	15	15	0
2-hydroxyglutarate	Group	RYGB	-0.781355842486237	0.203447663347173	0.00235001521298577	0.0763629430426659	CPLM	1.99	15	15	0
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*	Group	Sham	0.855214310833547	0.225086902213106	0.00253218154591294	0.07648486823296	CPLM	1.99	15	15	0
chenodeoxycholate	Group	RYGB	2.59584852517284	0.681615715448934	0.0024915729069763	0.07648486823296	CPLM	1.99	15	15	0
N-acetylmethionine	Group	Sham	-0.941561151641557	0.252937781131385	0.0029135342587668	0.0780032581097111	CPLM	1.99	15	15	0
cysteine	Group	Sham	-0.856547649572076	0.229658368917109	0.0028757100187579	0.0780032581097111	CPLM	1.99	15	15	0
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Group	RYGB	0.597479914141226	0.160303898732025	0.00288880765254254	0.0780032581097111	CPLM	1.99	15	15	0
glycerol	Group	Sham	0.996586807736031	0.265127619714147	0.00272640385775096	0.0780032581097111	CPLM	1.99	15	15	0
homostachydrine*	Group	Sham	2.95544395937112	0.784979236590869	0.00269625837217673	0.0780032581097111	CPLM	1.99	15	15	0
pyruvate	Group	RYGB	-0.556704875319754	0.151031367793134	0.00311434325129587	0.0797542684788377	CPLM	1.99	15	15	0
adrenate (22:4n6)	Group	Sham	1.17320784810273	0.317837247585785	0.00308487107025741	0.0797542684788377	CPLM	1.99	15	15	0
linoleate (18:2n6)	Group	Sham	0.849701185461981	0.232412984149251	0.00329022742069043	0.0824657000334751	CPLM	1.99	15	15	0
pyroglutamine*	Group	RYGB	-1.23942712275767	0.347188067229829	0.0038530912042533	0.0907788287722077	CPLM	1.423	15	15	0
gamma-glutamylalanine	Group	Sham	-1.07432401314862	0.300014210120908	0.00377595073991918	0.0907788287722077	CPLM	1.358	15	15	0
pyruvate	Group	Sham	-0.540142753129603	0.150996271408211	0.00380182301735573	0.0907788287722077	CPLM	1.99	15	15	0
phenol sulfate	Group	RYGB	3.31802722871336	0.935413546472638	0.00401784240558799	0.0910195837265894	CPLM	1.99	15	15	0
oxalate (ethanedioate)	Group	Sham	-0.561319590466635	0.157850876345854	0.00395271354539904	0.0910195837265894	CPLM	1.99	15	15	0
13-HODE + 9-HODE	Group	Sham	0.90015606352683	0.257297460526077	0.00439396549394801	0.0933556897603501	CPLM	1.99	15	15	0
oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*	Group	RYGB	0.963305410611934	0.274736603808591	0.00433142119920919	0.0933556897603501	CPLM	1.99	15	15	0
taurocholenate sulfate*	Group	Sham	-0.661145877746341	0.189272200912816	0.0044379614826652	0.0933556897603501	CPLM	1.99	15	15	0
trigonelline (N'-methylnicotinate)	Group	Sham	2.93232153805923	0.835196441664663	0.00429449622272999	0.0933556897603501	CPLM	1.99	15	15	0
nicotinamide	Group	RYGB	-0.757483014028432	0.218240385375106	0.00462357538661142	0.0955538913233027	CPLM	1.99	15	15	0
N-acetylglutamine	Group	Sham	-0.374526991801275	0.10867094410002	0.00483672213800997	0.0982354944582025	CPLM	1.99	15	15	0
glycochenodeoxycholate	Group	Sham	-2.30783478804238	0.671590710356421	0.00492736763140999	0.0983803232169656	CPLM	1.99	15	15	0
arachidonate (20:4n6)	Group	Sham	0.717044489097752	0.209221950688464	0.00501154279015785	0.0983932901134325	CPLM	1.99	15	15	0
2-oxoadipate	Group	RYGB	-1.00075994159258	0.294012532574618	0.00523283813632224	0.101053824993239	CPLM	1.638	15	15	0
dihomolinolenate (20:3n3 or 3n6)	Group	Sham	0.754749189711536	0.22279609979126	0.00539164081122382	0.102441175413253	CPLM	1.99	15	15	0
proline	Group	Sham	-0.395461997700103	0.117468515321104	0.00560600660461917	0.103185559066272	CPLM	1.01	15	15	0
gamma-glutamylthreonine	Group	Sham	-0.682266128833385	0.202173643490599	0.00552247440269341	0.103185559066272	CPLM	1.99	15	15	0
