""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"N-acetylaspartate (NAA)"	"N-acetylaspartate (NAA)"	"Group"	"RYGB"	-1.10996204597847	0.210853151349056	0.000199713830478779	0.0433104049309036	"CPLM"	1.4	15	15	0
"alpha-ketoglutarate"	"alpha-ketoglutarate"	"Group"	"RYGB"	-1.08486842227512	0.177715596096611	5.29955706689405e-05	0.0433104049309036	"CPLM"	1.712	15	15	0
"sphingosine"	"sphingosine"	"Group"	"RYGB"	1.49292174730326	0.293435504344194	0.000267193506294883	0.0433104049309036	"CPLM"	1.99	15	15	0
"sphinganine"	"sphinganine"	"Group"	"RYGB"	1.09202123466604	0.240574607100928	0.000678756074946112	0.0617677878440702	"CPLM"	1.99	15	15	0
"mannitol/sorbitol"	"mannitol/sorbitol"	"Group"	"RYGB"	-0.451313500136207	0.113035290793768	0.00178506574789333	0.0694683169759674	"CPLM"	1.99	15	15	0
"fumarate"	"fumarate"	"Group"	"RYGB"	-0.908832059238405	0.221007458616387	0.00144053302872001	0.0694683169759674	"CPLM"	1.329	15	15	0
"3-hydroxyadipate*"	"3-hydroxyadipate*"	"Group"	"RYGB"	0.982199236366693	0.242537113736423	0.00161123688349554	0.0694683169759674	"CPLM"	1.99	15	15	0
"ophthalmate"	"ophthalmate"	"Group"	"RYGB"	2.2997234918886	0.588843622803817	0.00208921789974656	0.0747020640967639	"CPLM"	1.99	15	15	0
"malate"	"malate"	"Group"	"RYGB"	-0.943063147055378	0.243554689957434	0.00221950105550657	0.0747020640967639	"CPLM"	1.245	15	15	0
"3-hydroxybutyrate (BHBA)"	"3-hydroxybutyrate (BHBA)"	"Group"	"RYGB"	1.0930235066855	0.281143748433886	0.00215728984146596	0.0747020640967639	"CPLM"	1.99	15	15	0
"2-hydroxyglutarate"	"2-hydroxyglutarate"	"Group"	"RYGB"	-0.781355842486237	0.203447663347173	0.00235001521298577	0.0763629430426659	"CPLM"	1.99	15	15	0
"chenodeoxycholate"	"chenodeoxycholate"	"Group"	"RYGB"	2.59584852517284	0.681615715448934	0.0024915729069763	0.07648486823296	"CPLM"	1.99	15	15	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	"Group"	"RYGB"	0.597479914141226	0.160303898732025	0.00288880765254254	0.0780032581097111	"CPLM"	1.99	15	15	0
"pyruvate"	"pyruvate"	"Group"	"RYGB"	-0.556704875319754	0.151031367793134	0.00311434325129587	0.0797542684788377	"CPLM"	1.99	15	15	0
"pyroglutamine*"	"pyroglutamine*"	"Group"	"RYGB"	-1.23942712275767	0.347188067229829	0.0038530912042533	0.0907788287722077	"CPLM"	1.423	15	15	0
"phenol sulfate"	"phenol sulfate"	"Group"	"RYGB"	3.31802722871336	0.935413546472638	0.00401784240558799	0.0910195837265894	"CPLM"	1.99	15	15	0
"oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*"	"oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*"	"Group"	"RYGB"	0.963305410611934	0.274736603808591	0.00433142119920919	0.0933556897603501	"CPLM"	1.99	15	15	0
"nicotinamide"	"nicotinamide"	"Group"	"RYGB"	-0.757483014028432	0.218240385375106	0.00462357538661142	0.0955538913233027	"CPLM"	1.99	15	15	0
"2-oxoadipate"	"2-oxoadipate"	"Group"	"RYGB"	-1.00075994159258	0.294012532574618	0.00523283813632224	0.101053824993239	"CPLM"	1.638	15	15	0
"gamma-glutamylalanine"	"gamma-glutamylalanine"	"Group"	"RYGB"	-1.01097595006285	0.301833458928169	0.00578603241439927	0.103271911881248	"CPLM"	1.358	15	15	0
"N-acetylproline"	"N-acetylproline"	"Group"	"RYGB"	-0.483910811137945	0.146989436699853	0.00643367386232078	0.105262052914082	"CPLM"	1.01	15	15	0
"fructose"	"fructose"	"Group"	"RYGB"	-0.683291532896479	0.211423584587142	0.00719443460440696	0.110263395105559	"CPLM"	1.406	15	15	0
