	Cluster
S1	C4
S2	C4
S3	C4
S4	C4
S5	C4
S6	C4
S7	C4
S8	C4
S9	C4
S10	C4
S11	C4
S12	C4
S13	C4
S14	C4
S15	C4
S16	C4
S17	C4
S18	C4
S19	C4
S20	C4
S21	C4
S22	C4
S23	C4
S24	C4
S25	C4
S26	C4
S27	C4
S28	C4
S29	C4
S30	C4
S31	C4
S32	C4
S33	C4
S34	C4
S35	C4
S36	C4
S37	C4
S38	C4
S39	C4
S40	C4
S41	C4
S42	C4
S43	C4
S44	C4
S45	C4
S46	C4
S47	C4
S48	C4
S49	C4
S50	C4
S51	C4
S52	C3
S53	C3
S54	C3
S55	C3
S56	C3
S57	C3
S58	C3
S59	C3
S60	C3
S61	C3
S62	C3
S63	C3
S64	C3
S65	C3
S66	C3
S67	C3
S68	C3
S69	C3
S70	C3
S71	C3
S72	C3
S73	C3
S74	C3
S75	C3
S76	C3
S77	C3
S78	C3
S79	C3
S80	C3
S81	C3
S82	C3
S83	C3
S84	C3
S85	C3
S86	C3
S87	C3
S88	C3
S89	C3
S90	C3
S91	C3
S92	C3
S93	C3
S94	C3
S95	C3
S96	C3
S97	C3
S98	C3
S99	C3
S100	C3
S101	C3
S102	C3
S103	C3
S104	C1
S105	C1
S106	C1
S107	C1
S108	C1
S109	C1
S110	C1
S111	C1
S112	C1
S113	C1
S114	C1
S115	C1
S116	C1
S117	C1
S118	C1
S119	C1
S120	C1
S121	C1
S122	C1
S123	C1
S124	C1
S125	C1
S126	C1
S127	C1
S128	C1
S129	C1
S130	C1
S131	C1
S132	C1
S133	C1
S134	C1
S135	C1
S136	C1
S137	C1
S138	C1
S139	C1
S140	C1
S141	C1
S142	C1
S143	C1
S144	C1
S145	C1
S146	C1
S147	C2
S148	C2
S149	C2
S150	C2
S151	C2
S152	C2
S153	C2
S154	C2
S155	C2
S156	C2
S157	C2
S158	C2
S159	C2
S160	C2
S161	C2
S162	C2
S163	C2
S164	C2
S165	C2
S166	C2
S167	C2
S168	C2
S169	C2
S170	C2
S171	C2
S172	C2
S173	C2
S174	C2
S175	C2
S176	C2
S177	C2
S178	C2
S179	C2
S180	C2
S181	C2
S182	C2
S183	C2
S184	C2
S185	C2
S186	C2
S187	C2
S188	C2
S189	C2
S190	C2
S191	C2
S192	C2
S193	C2
S194	C2
S195	C2
S196	C2
S197	C2
S198	C2
S199	C2
S200	C2
