	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
1	1	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000123	HMDB00123	58	LC/MS Pos Early	340	1375	76.039299999999997	1375	76.039299999999997	750	56-40-6	C00037	glycine
2	2	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000532	HMDB00532	27710	LC/MS Pos Early	100001006	826	118.04989999999999	826	118.04989999999999	10972	543-24-8	NA	N-acetylglycine
4	4	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000271	HMDB00271	1516	LC/MS Pos Early	1023	1280	90.055000000000007	1280	90.055000000000007	1088	107-97-1	C00213	sarcosine
5	5	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000092	HMDB00092	5086	LC/MS Pos Early	806	1104	104.0706	1104	104.0706	673	1118-68-9	C01026	dimethylglycine
6	6	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000043	HMDB00043	3141	LC/MS Pos Early	799	1064	118.08629999999999	1064	118.08629999999999	247	107-43-7	C00719	betaine
9	9	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000187	HMDB00187	1648	LC/MS Pos Early	503	1239	106.04989999999999	1239	106.04989999999999	5951	56-45-1	C00065	serine
10	10	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0002931	HMDB02931	37076	LC/MS Polar	100001851	2000	146.04589999999999	2000	146.04589999999999	65249	97-14-3	NA	N-acetylserine
16	16	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0000167	HMDB00167	1284	LC/MS Pos Early	564	1514	120.0655	1514	120.0655	6288	72-19-5	C00188	threonine
17	17	Amino Acid	Glycine, Serine and Threonine Metabolism	HMDB0062557	HMDB62557	33939	LC/MS Neg	100001274	821.6	160.0615	821.6	160.0615	152204	17093-74-2	NA	N-acetylthreonine
28	28	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000161	HMDB00161	1126	LC/MS Pos Early	811	1700	90.055000000000007	1700	90.055000000000007	5950	56-41-7	C00041	alanine
30	30	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000766	HMDB00766	1585	LC/MS Polar	1110	1564.8	130.05099999999999	1564.8	130.05099999999999	88064	97-69-8	C02847	N-acetylalanine
35	35	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000191	HMDB00191	443	LC/MS Pos Early	234	1165	134.04480000000001	1165	134.04480000000001	5960	56-84-8	C00049	aspartate
36	36	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000812	HMDB00812	22185	LC/MS Polar	100000787	3143	174.04079999999999	3143	174.04079999999999	65065	997-55-7;997-55-7	C01042	N-acetylaspartate (NAA)
39	39	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000168	HMDB00168	512	LC/MS Pos Early	917	1225	133.0608	1225	133.0608	6267	70-47-3	C00152	asparagine
40	40	Amino Acid	Alanine and Aspartate Metabolism	HMDB0006028	HMDB06028	33942	LC/MS Polar	100001257	2250	173.05680000000001	2250	173.05680000000001	99715	4033-40-3	NA	N-acetylasparagine
41	41	Amino Acid	Alanine and Aspartate Metabolism	HMDB0032332	HMDB32332	62060	LC/MS Pos Early	100020205	1149	149.0557	1149	149.0557	97663	NA	C03124	hydroxyasparagine
42	42	Amino Acid	Glutamate Metabolism	HMDB0000148	HMDB00148	57	LC/MS Pos Early	561	1500	148.06039999999999	1500	148.06039999999999	611	56-86-0	C00025	glutamate
43	43	Amino Acid	Glutamate Metabolism	HMDB0000641	HMDB00641	53	LC/MS Pos Early	563	1291	147.07640000000001	1291	147.07640000000001	5961	56-85-9	C00064	glutamine
44	44	Amino Acid	Glutamate Metabolism	NA	NA	62101	LC/MS Polar	100002397	1916	144.03020000000001	1916	144.03020000000001	NA	18465-19-5	NA	alpha-ketoglutaramate*
45	45	Amino Acid	Glutamate Metabolism	HMDB0001138	HMDB01138	15720	LC/MS Polar	100000282	3106	188.0564	3106	188.0564	70914	1430871	C00624	N-acetylglutamate
46	46	Amino Acid	Glutamate Metabolism	HMDB0006029	HMDB06029	33943	LC/MS Polar	100001253	2140	187.07239999999999	2140	187.07239999999999	182230	2490-97-3	C02716	N-acetylglutamine
48	48	Amino Acid	Glutamate Metabolism	HMDB0002273	HMDB01344	40499	LC/MS Pos Early	100002544	1141	164.05539999999999	1141	164.05539999999999	439902	2485-33-8	C03079	4-hydroxyglutamate
52	52	Amino Acid	Glutamate Metabolism	NA	NA	46225	LC/MS Pos Early	100001540	1900	129.0659	1900	129.0659	134508	2353-44-8	NA	pyroglutamine*
53	53	Amino Acid	Glutamate Metabolism	HMDB0001067	HMDB01067	35665	LC/MS Pos Early	100001612	1035	305.09800000000001	1035	305.09800000000001	5255	3106-85-2	C12270	N-acetyl-aspartyl-glutamate (NAAG)
56	56	Amino Acid	Glutamate Metabolism	HMDB0002201	HMDB02201	40007	LC/MS Pos Early	100003260	2085	176.0917	2085	176.0917	2572	908055	NA	carboxyethyl-GABA
60	60	Amino Acid	Glutamate Metabolism	HMDB0001301	HMDB01301	42370	LC/MS Pos Early	35	1528	114.05500000000001	1528	114.05500000000001	1196	2906-39-0	C04322	S-1-pyrroline-5-carboxylate
66	66	Amino Acid	Histidine Metabolism	HMDB0000177	HMDB00177	59	LC/MS Neg	355	755.9	154.06219999999999	755.9	154.06219999999999	6274	5934-29-2	C00135	histidine
67	67	Amino Acid	Histidine Metabolism	HMDB0000001	HMDB00001	30460	LC/MS Pos Early	100001051	2755	170.0924	2755	170.0924	92105	332-80-9	C01152	1-methylhistidine
68	68	Amino Acid	Histidine Metabolism	HMDB0000479	HMDB00479	15677	LC/MS Neg	100000042	906.3	168.0779	906.3	168.0779	64969	368-16-1	C01152	3-methylhistidine
69	69	Amino Acid	Histidine Metabolism	HMDB0032055	HMDB32055	33946	LC/MS Polar	100001293	2088	196.0728	2088	196.0728	75619	39145-52-3	C02997	N-acetylhistidine
70	70	Amino Acid	Histidine Metabolism	NA	NA	43256	LC/MS Pos Early	100002204	2056	212.10300000000001	2056	212.10300000000001	193270	37841-04-6	NA	N-acetyl-3-methylhistidine*
71	71	Amino Acid	Histidine Metabolism	NA	NA	43255	LC/MS Pos Early	100004299	2100	212.1028	2100	212.1028	193270	NA	NA	N-acetyl-1-methylhistidine*
73	73	Amino Acid	Histidine Metabolism	HMDB0000301	HMDB00301	607	LC/MS Pos Early	537	2285	139.05019999999999	2285	139.05019999999999	736715	104-98-3	C00785	trans-urocanate
75	75	Amino Acid	Histidine Metabolism	HMDB0002271	HMDB02271	40730	LC/MS Pos Early	100003434	2263	141.0659	2263	141.0659	70630	1074-59-5	NA	imidazole propionate
76	76	Amino Acid	Histidine Metabolism	HMDB0000854	HMDB00854	43493	LC/MS Pos Early	100002500	1880	175.07130000000001	1880	175.07130000000001	439233	816-90-0	C00439	formiminoglutamate
77	77	Amino Acid	Histidine Metabolism	HMDB0002320	HMDB02320	15716	LC/MS Polar	100000263	2241.6	155.0462	2241.6	155.0462	440129	14403-45-3	C05568	imidazole lactate
78	78	Amino Acid	Histidine Metabolism	HMDB0000033	HMDB00033	1768	LC/MS Pos Early	249	2942	227.1139	2942	227.1139	439224	305-84-0	C00386	carnosine
80	80	Amino Acid	Histidine Metabolism	HMDB0012881	HMDB12881	43488	LC/MS Polar	100004046	2287	267.10989999999998	2287	267.10989999999998	9903482	56353-15-2	NA	N-acetylcarnosine
81	81	Amino Acid	Histidine Metabolism	HMDB0000194	HMDB00194	15747	LC/MS Pos Early	100000044	2924	241.12950000000001	2924	241.12950000000001	112072	10030-52-1	C01262	anserine
82	82	Amino Acid	Histidine Metabolism	HMDB0000870	HMDB00870	1574	LC/MS Pos Early	354	3035	112.0869	3035	112.0869	774	51-45-6	C00388	histamine
84	84	Amino Acid	Histidine Metabolism	HMDB0002820	HMDB02820	32350	LC/MS Pos Early	100001208	2064	141.0659	2064	141.0659	75810	2625-49-2	C05828	1-methyl-4-imidazoleacetate
85	85	Amino Acid	Histidine Metabolism	HMDB0004988	HMDB04988	62946	LC/MS Pos Early	100002910	1989	141.0659	1989	141.0659	6451814	4200-48-0	NA	1-methyl-5-imidazoleacetate
87	87	Amino Acid	Histidine Metabolism	HMDB0002331	HMDB02331	61868	LC/MS Pos Early	100001668	2006	259.09249999999997	2006	259.09249999999997	5117448	29605-99-0	C05131	1-ribosyl-imidazoleacetate*
88	88	Amino Acid	Histidine Metabolism	HMDB0002024	HMDB02024	32349	LC/MS Polar	100001207	2236	125.03570000000001	2236	125.03570000000001	96215	645-65-8	C02835	4-imidazoleacetate
96	96	Amino Acid	Lysine Metabolism	HMDB0000182	HMDB00182	1301	LC/MS Pos Early	407	2850	147.11279999999999	2850	147.11279999999999	5962	56-87-1	C00047	lysine
98	98	Amino Acid	Lysine Metabolism	HMDB0000206	HMDB00206	36752	LC/MS Polar	100001734	2612.6	187.1088	2612.6	187.1088	92832	692-04-6	C02727	N6-acetyllysine
105	105	Amino Acid	Lysine Metabolism	HMDB0002038	HMDB02038	62860	LC/MS Pos Early	100003415	2831	161.1285	2831	161.1285	164795	1188-07-4	C02728	N6-methyllysine
106	106	Amino Acid	Lysine Metabolism	HMDB0013287	HMDB13287	62862	LC/MS Pos Early	100020417	2831	175.14410000000001	2831	175.14410000000001	193344	2259-86-1	C05545	N6,N6-dimethyllysine
