	Group	Time	Site	Position	Position2	Animal
31592	RYGB	Week 1	Aorta	C	P3	RYGB 7
31593	RYGB	Week 1	Portal	C	P4	RYGB 7
31594	RYGB	Week 1	Aorta	C	P5	RYGB 8
31595	RYGB	Week 1	Portal	C	P6	RYGB 8
31596	RYGB	Week 1	Aorta	C	P7	RYGB 9
31597	RYGB	Week 1	Portal	C	P8	RYGB 9
31598	RYGB	Week 1	Aorta	C	P9	RYGB 10
31599	RYGB	Week 1	Portal	C	P10	RYGB 10
31600	RYGB	Week 1	Aorta	D	P1	RYGB 11
31601	RYGB	Week 1	Portal	D	P2	RYGB 11
31602	Sham	Week 1	Aorta	F	P5	Sham 1
31603	Sham	Week 1	Portal	F	P6	Sham 1
31604	Sham	Week 1	Aorta	F	P1	Sham 
31605	Sham	Week 1	Portal	F	P2	Sham 
31606	Sham	Week 1	Aorta	F	P7	Sham 3
31607	Sham	Week 1	Portal	F	P8	Sham 3
31608	Sham	Week 1	Aorta	F	P9	Sham 4
31609	Sham	Week 1	Portal	F	P10	Sham 4
31610	Sham	Week 1	Aorta	G	P1	Sham 6
31611	Sham	Week 1	Portal	G	P2	Sham 6
31612	Weight Matched	Week 1	Aorta	G	P3	PF-1 1
31613	Weight Matched	Week 1	Portal	G	P4	PF-1 1
31614	Weight Matched	Week 1	Aorta	G	P5	PF-2 1
31615	Weight Matched	Week 1	Portal	G	P6	PF-2 1
31616	Weight Matched	Week 1	Aorta	G	P7	PF-3 1
31617	Weight Matched	Week 1	Portal	G	P8	PF-3 1
31618	Weight Matched	Week 1	Aorta	H	P3	WM-4 1
31619	Weight Matched	Week 1	Portal	H	P4	WM-4 1
31620	Weight Matched	Week 1	Aorta	H	P5	WM-6 1
31621	Weight Matched	Week 1	Portal	H	P6	WM-6 1
31622	RYGB	Month 1	Aorta	C	P1	RYGB 1B
31623	RYGB	Month 1	Portal	C	P2	RYGB 1B
31624	RYGB	Month 1	Aorta	C	P3	RYGB 1C
31625	RYGB	Month 1	Portal	C	P4	RYGB 1C
31626	RYGB	Month 1	Aorta	A	P1	RYGB 1D
31627	RYGB	Month 1	Portal	A	P2	RYGB 1D
31628	RYGB	Month 1	Aorta	A	P3	RYGB 1E
31629	RYGB	Month 1	Portal	A	P4	RYGB 1E
31630	RYGB	Month 1	Aorta	A	P5	RYGB 1F
31631	RYGB	Month 1	Portal	A	P6	RYGB 1F
31632	Sham	Month 1	Aorta	G	P1	Sham 1A
31633	Sham	Month 1	Portal	G	P2	Sham 1A
31634	Sham	Month 1	Aorta	G	P3	Sham 1B
31635	Sham	Month 1	Portal	G	P4	Sham 1B
31636	Sham	Month 1	Aorta	G	P5	Sham 1C
